,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
0,LIN,1,4,13.16,0,-22.2,4,7.5,,,4,9.5,,
1,LIN,2,2,0.53,0,-49.46,0,-5.37,,,0,-4.77,,
2,LIN,3,1,0,1,154.29,0,-4.82,,,1,0.1,,
3,LIN-Total,,7,,1,,4,,,,5,,,
4,SHW,1,4,16.76,4,6.73,4,11.26,4,2.09,4,11.15,4,8.32
5,SHW,2,2,74.02,2,41.3,2,11.03,2,17.02,2,16.89,2,10.42
6,SHW,3,0,-4.45,0,-33.69,1,0.79,1,26.39,0,-0.23,1,13.47
7,SHW-Total,,6,,6,,7,,7,,6,,7,
8,APD,1,4,8.96,,,,,,,,,,
9,APD,2,0,-1.47,,,,,,,,,,
10,APD,3,0,-4.67,,,,,,,,,,
11,APD-Total,,4,,,,,,,,,,,
12,ECL,1,4,76.92,0,-2.81,4,42.06,4,1.62,4,41,4,2.33
13,ECL,2,0,-42.48,2,9.22,0,-40.67,2,6.02,0,-39.52,2,4.69
14,ECL,3,0,-31.93,0,-5.79,0,-35.91,1,5.2,0,-30.32,1,2.74
15,ECL-Total,,4,,2,,4,,7,,4,,7,
16,DD,1,4,25.71,4,543.28,4,5.55,0,-4.79,4,10.87,4,2.25
17,DD,2,0,-16.67,0,-75,0,-7.53,2,93.57,0,-19.23,2,244.94
18,DD,3,0,-11.58,0,-37.82,1,0.33,0,-75.76,1,5.96,0,-79.85
19,DD-Total,,4,,4,,5,,2,,5,,6,
20,NEM,1,4,168.75,0,-34.65,4,34.04,4,34.29,4,45.45,4,43.83
21,NEM,2,0,-20,2,495.31,0,-8.37,0,-1.71,2,4.64,0,-4.73
22,NEM,3,0,-20,0,-74.3,0,-13.01,1,10.46,0,-17.18,1,12.75
23,NEM-Total,,4,,2,,4,,5,,6,,5,
24,DOW,1,0,-292.31,,,4,16.26,,,4,80.24,,
25,DOW,2,0,-144.07,,,0,-14.49,,,0,-51.69,,
26,DOW,3,0,-24.36,,,0,-4.25,,,1,3.63,,
27,DOW-Total,,0,,,,4,,,,5,,,
28,FCX,1,4,866.67,0,-52.94,0,-22.69,0,-22.69,4,122.9,0,-74.98
29,FCX,2,0,-118.75,0,-90.45,2,13.56,2,13.56,2,42.26,2,17.18
30,FCX,3,0,-900,1,2125,1,10.61,1,10.61,0,-41.06,1,63.57
31,FCX-Total,,4,,1,,3,,3,,6,,3,
32,PPG,1,4,94.95,0,-36.59,4,22.22,0,-1.48,4,26.45,4,1.88
33,PPG,2,0,-16.81,0,-4.57,0,-10.72,2,4.24,0,-10.69,0,-2.54
34,PPG,3,0,-9.16,1,65.26,0,-8.03,1,3.35,0,-5.89,0,-1
35,PPG-Total,,4,,1,,4,,3,,4,,4,
36,CTVA,1,0,-130.95,0,-33.59,0,-64.11,,,0,-76.04,,
37,CTVA,2,2,113.56,0,-83.02,2,31.22,,,2,40.01,,
38,CTVA,3,1,742.86,1,787.06,1,32.62,,,1,66.21,,
39,CTVA-Total,,3,,1,,3,,,,3,,,
40,LYB,1,4,78.87,0,-82.36,4,22.18,0,-10.97,4,36.66,0,-16.2
