,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
0,FB,1.0,4.0,50.56,,,4.0,14.9,4.0,26.61,4.0,16.28,4.0,24.62
1,FB,2.0,2.0,5.26,,,2.0,5.35,2.0,37.35,2.0,4.06,2.0,32.06
2,FB,3.0,0.0,-33.2,,,0.0,-15.87,1.0,47.09,0.0,-18.83,1.0,47.59
3,FB-Total,,6.0,,,,6.0,,7.0,,6.0,,7.0,
4,GOOGL,1.0,4.0,61.9,,,,,,,,,,
5,GOOGL,2.0,2.0,2.63,,,,,,,,,,
6,GOOGL,3.0,0.0,-35.7,,,,,,,,,,
7,GOOGL-Total,,6.0,,,,,,,,,,,
8,GOOG,1.0,4.0,61.9,,,,,,,,,,
9,GOOG,2.0,2.0,2.63,,,,,,,,,,
10,GOOG,3.0,0.0,-35.7,,,,,,,,,,
11,GOOG-Total,,6.0,,,,,,,,,,,
12,DIS,1.0,0.0,-350.0,,,,,,,,,,
13,DIS,2.0,0.0,-86.67,,,,,,,,,,
14,DIS,3.0,0.0,-60.78,,,,,,,,,,
15,DIS-Total,,0.0,,,,,,,,,,,
16,VZ,1.0,4.0,5.93,,,4.0,3.6,4.0,0.77,4.0,2.73,4.0,2.37
17,VZ,2.0,0.0,-6.35,,,0.0,-3.68,2.0,3.83,0.0,-3.19,2.0,3.27
18,VZ,3.0,1.0,11.5,,,0.0,-9.1,1.0,0.04,1.0,0.89,0.0,-0.42
19,VZ-Total,,5.0,,,,4.0,,7.0,,5.0,,6.0,
20,NFLX,1.0,4.0,9.43,,,4.0,4.67,4.0,27.62,4.0,2.53,4.0,32.43
21,NFLX,2.0,2.0,1.27,,,2.0,6.6,2.0,35.08,2.0,15.53,2.0,59.21
22,NFLX,3.0,1.0,20.77,,,1.0,5.49,1.0,32.41,1.0,8.32,1.0,42.22
23,NFLX-Total,,7.0,,,,7.0,,7.0,,7.0,,7.0,
24,CMCSA,1.0,0.0,-5.8,,,,,,,,,,
25,CMCSA,2.0,0.0,-2.82,,,,,,,,,,
26,CMCSA,3.0,0.0,-10.13,,,,,,,,,,
27,CMCSA-Total,,0.0,,,,,,,,,,,
28,T,1.0,0.0,-8.43,,,4.0,3.39,4.0,6.11,0.0,-2.42,4.0,6.26
29,T,2.0,0.0,-1.19,,,0.0,-4.28,2.0,6.36,0.0,-1.86,2.0,10.4
30,T,3.0,0.0,-5.62,,,0.0,-8.63,0.0,-1.98,0.0,-2.44,0.0,-4.46
31,T-Total,,0.0,,,,4.0,,6.0,,0.0,,6.0,
32,CHTR,1.0,4.0,7.44,,,,,,,,,,
33,CHTR,2.0,2.0,85.2,,,,,,,,,,
34,CHTR,3.0,0.0,-41.84,,,,,,,,,,
35,CHTR-Total,,6.0,,,,,,,,,,,
36,TMUS,1.0,4.0,91.8,,,4.0,9.06,4.0,3.9,4.0,6.28,4.0,6.09
37,TMUS,2.0,0.0,-50.41,,,2.0,59.01,2.0,6.66,2.0,57.03,2.0,9.0
38,TMUS,3.0,1.0,41.38,,,0.0,-6.44,1.0,8.31,1.0,4.19,1.0,9.34
