,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
0,AMZN,1.0,4.0,20.1,,,4.0,8.14,4.0,20.45,4.0,7.69,4.0,22.68
1,AMZN,2.0,2.0,105.59,,,2.0,17.84,2.0,30.93,2.0,16.21,2.0,42.16
2,AMZN,3.0,0.0,-22.57,,,0.0,-13.71,1.0,30.8,0.0,-6.77,1.0,38.16
3,AMZN-Total,,6.0,,,,6.0,,7.0,,6.0,,7.0,
4,HD,1.0,0.0,-20.9,,,0.0,-11.87,4.0,1.87,0.0,-11.48,4.0,1.11
5,HD,2.0,2.0,93.27,,,2.0,34.65,2.0,7.23,2.0,34.45,2.0,8.16
6,HD,3.0,0.0,-8.77,,,1.0,9.61,1.0,6.67,1.0,10.18,1.0,6.32
7,HD-Total,,2.0,,,,3.0,,7.0,,3.0,,7.0,
8,NKE,1.0,0.0,-17.89,,,0.0,-4.38,0.0,-4.38,4.0,101.49,0.0,-7.06
9,NKE,2.0,0.0,-286.27,,,2.0,7.47,2.0,7.47,0.0,-47.4,2.0,9.51
10,NKE,3.0,0.0,-165.38,,,1.0,5.96,1.0,5.96,0.0,-1.56,1.0,4.21
11,NKE-Total,,0.0,,,,3.0,,3.0,,4.0,,3.0,
12,MCD,1.0,4.0,236.36,,,4.0,44.04,4.0,0.24,4.0,68.36,4.0,3.05
13,MCD,2.0,0.0,-55.1,,,0.0,-20.21,0.0,-7.87,0.0,-26.33,2.0,1.56
14,MCD,3.0,0.0,-25.38,,,0.0,-8.29,0.0,-7.32,0.0,-16.47,1.0,4.08
15,MCD-Total,,4.0,,,,4.0,,4.0,,4.0,,7.0,
16,LOW,1.0,0.0,-47.2,,,,,,,,,,
17,LOW,2.0,2.0,111.86,,,,,,,,,,
18,LOW,3.0,1.0,88.3,,,,,,,,,,
19,LOW-Total,,3.0,,,,,,,,,,,
20,SBUX,1.0,0.0,-210.87,,,4.0,46.92,0.0,-11.28,4.0,54.36,0.0,-12.0
21,SBUX,2.0,0.0,-243.75,,,0.0,-29.58,2.0,7.24,0.0,-31.51,2.0,7.11
22,SBUX,3.0,0.0,-59.49,,,0.0,-15.52,1.0,10.42,0.0,-17.75,1.0,9.58
23,SBUX-Total,,0.0,,,,4.0,,3.0,,4.0,,3.0,
24,BKNG,1.0,0.0,-213.51,,,4.0,5.78,4.0,5.78,4.0,222.05,4.0,8.32
25,BKNG,2.0,0.0,-386.74,,,2.0,8.02,2.0,8.02,0.0,-92.2,2.0,3.11
26,BKNG,3.0,0.0,-83.82,,,1.0,4.28,1.0,4.28,0.0,-37.46,1.0,1.24
27,BKNG-Total,,0.0,,,,7.0,,7.0,,4.0,,7.0,
28,TJX,1.0,0.0,-494.44,,,4.0,51.74,4.0,7.04,4.0,104.61,4.0,6.55
29,TJX,2.0,0.0,-75.68,,,2.0,51.23,2.0,8.67,2.0,26672.19,2.0,7.52
30,TJX,3.0,0.0,-191.36,,,0.0,-63.88,1.0,8.08,0.0,-99.84,1.0,7.74
31,TJX-Total,,0.0,,,,6.0,,7.0,,6.0,,7.0,
32,GM,1.0,0.0,-666.0,,,4.0,111.47,0.0,-6.67,4.0,6204.17,0.0,-0.87
33,GM,2.0,0.0,-180.65,,,0.0,-48.71,2.0,1.0,0.0,-96.35,0.0,-22.69
34,GM,3.0,1.0,1140.0,,,1.0,6.11,0.0,-2.41,1.0,52.03,0.0,-4.2
35,GM-Total,,1.0,,,,5.0,,2.0,,5.0,,0.0,
36,ROST,1.0,0.0,-884.62,,,4.0,39.85,4.0,7.04,4.0,72.53,4.0,5.77
37,ROST,2.0,0.0,-55.17,,,2.0,45.7,2.0,6.01,2.0,1177.72,2.0,4.04
38,ROST,3.0,0.0,-122.66,,,0.0,-58.25,1.0,9.85,0.0,-96.02,1.0,10.81
39,ROST-Total,,0.0,,,,6.0,,7.0,,6.0,,7.0,
40,CMG,1.0,4.0,840.0,,,4.0,17.34,4.0,14.83,4.0,87.23,4.0,25.41
41,CMG,2.0,0.0,-87.01,,,0.0,-3.26,2.0,8.68,0.0,-32.99,2.0,20.47
42,CMG,3.0,1.0,7.69,,,0.0,-2.04,1.0,14.65,0.0,-9.98,1.0,51.79
43,CMG-Total,,5.0,,,,4.0,,7.0,,4.0,,7.0,
44,F,1.0,0.0,-285.71,,,4.0,93.59,0.0,-2.77,4.0,481.49,0.0,-19.66
45,F,2.0,2.0,52.17,,,0.0,-43.56,2.0,2.27,0.0,-9.15,0.0,-10.98
46,F,3.0,0.0,-291.67,,,0.0,-13.58,1.0,3.28,0.0,-65.52,0.0,-2.09
47,F-Total,,2.0,,,,4.0,,3.0,,4.0,,0.0,
48,EBAY,1.0,0.0,-23.4,,,0.0,-24.47,4.0,0.5,0.0,-31.32,0.0,-0.86
49,EBAY,2.0,2.0,40.3,,,2.0,20.68,2.0,8.25,2.0,22.67,2.0,8.54
50,EBAY,3.0,1.0,0.0,,,0.0,-46.05,1.0,6.76,0.0,-46.77,1.0,5.65
51,EBAY-Total,,3.0,,,,2.0,,7.0,,2.0,,3.0,
52,MAR,1.0,0.0,-109.37,,,4.0,53.96,4.0,1.03,4.0,328.43,0.0,-12.44
53,MAR,2.0,0.0,-346.15,,,0.0,-68.72,2.0,1.5,0.0,-80.83,0.0,-3.65
54,MAR,3.0,0.0,-83.44,,,0.0,-12.85,1.0,32.74,0.0,-20.24,1.0,42.7
55,MAR-Total,,0.0,,,,4.0,,7.0,,4.0,,1.0,
56,APTV,1.0,0.0,-202.73,,,4.0,87.14,0.0,-0.54,4.0,4876.92,0.0,-3.04
57,APTV,2.0,0.0,-261.76,,,0.0,-39.24,2.0,12.04,0.0,-97.41,2.0,4.4
