,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
0,XOM,1.0,0,-74.29,,,4.0,40.73,0.0,-8.5,4.0,27.04,0.0,-13.32
1,XOM,2.0,0,-232.08,,,0.0,-41.46,2.0,17.78,0.0,-23.32,2.0,13.41
2,XOM,3.0,1,29.27,,,0.0,-12.52,1.0,18.21,0.0,-21.4,1.0,15.52
3,XOM-Total,,1,,,,4.0,,3.0,,4.0,,3.0,
4,CVX,1.0,0,-106.92,,,4.0,50.68,0.0,-11.98,4.0,163.99,0.0,-12.36
5,CVX,2.0,0,-223.26,,,0.0,-46.39,2.0,17.99,0.0,-74.71,2.0,10.05
6,CVX,3.0,0,-13.42,,,0.0,-14.08,1.0,22.19,1.0,0.12,1.0,28.36
7,CVX-Total,,0,,,,4.0,,3.0,,5.0,,3.0,
8,COP,1.0,0,-66.3,,,,,,,,,,
9,COP,2.0,0,-304.44,,,,,,,,,,
10,COP,3.0,0,-40.79,,,,,,,,,,
11,COP-Total,,0,,,,,,,,,,,
12,SLB,1.0,4,220.0,,,0.0,-1.83,4.0,0.31,4.0,46.76,0.0,-3.23
13,SLB,2.0,0,-80.0,,,0.0,-28.16,2.0,7.8,0.0,-48.01,2.0,11.29
14,SLB,3.0,0,-35.9,,,0.0,-9.39,1.0,9.46,0.0,-24.59,1.0,14.58
15,SLB-Total,,4,,,,0.0,,7.0,,4.0,,3.0,
16,EOG,1.0,0,-286.96,,,4.0,103.51,4.0,0.61,4.0,182.67,0.0,-0.22
17,EOG,2.0,0,-141.82,,,0.0,-76.61,2.0,54.13,0.0,-84.95,2.0,59.68
18,EOG,3.0,0,-59.26,,,1.0,9.2,1.0,46.5,1.0,11.0,1.0,58.91
19,EOG-Total,,0,,,,5.0,,7.0,,5.0,,3.0,
20,PSX,1.0,0,-98.65,,,,,0.0,-3.74,,,0.0,-22.67
21,PSX,2.0,0,-172.55,,,,,2.0,8.9,,,0.0,-52.59
22,PSX,3.0,0,-33.77,,,,,1.0,21.45,,,1.0,4.05
23,PSX-Total,,0,,,,,,3.0,,,,1.0,
24,KMI,1.0,4,23.53,,,4.0,14.02,0.0,-6.61,4.0,7.14,4.0,2.14
25,KMI,2.0,0,-29.17,,,0.0,-17.58,2.0,3.2,0.0,-17.0,2.0,4.54
26,KMI,3.0,0,-7.69,,,0.0,-7.34,1.0,4.95,0.0,-3.9,0.0,-5.08
27,KMI-Total,,4,,,,4.0,,3.0,,4.0,,6.0,
28,MPC,1.0,0,-24.81,,,0.0,-23.0,4.0,28.44,,,4.0,31.31
29,MPC,2.0,2,731.25,,,0.0,-40.42,2.0,29.13,,,2.0,36.55
30,MPC,3.0,0,-110.26,,,0.0,-38.21,1.0,17.99,,,1.0,24.21
31,MPC-Total,,2,,,,0.0,,7.0,,,,7.0,
32,WMB,1.0,4,8.0,,,,,,,,,,
33,WMB,2.0,0,-3.85,,,,,,,,,,
34,WMB,3.0,1,8.33,,,,,,,,,,
35,WMB-Total,,5,,,,,,,,,,,
36,VLO,1.0,0,-7.2,,,4.0,52.05,0.0,-7.44,0.0,-79.83,0.0,-14.59
37,VLO,2.0,0,-467.65,,,0.0,-52.96,2.0,24.53,0.0,-5.37,2.0,24.17
38,VLO,3.0,0,-84.04,,,0.0,-20.72,1.0,24.22,1.0,4.09,1.0,3.63
39,VLO-Total,,0,,,,4.0,,3.0,,1.0,,3.0,
40,PXD,1.0,0,-153.12,,,4.0,62.75,4.0,3.11,4.0,73.13,0.0,-5.86
